S,co,nested,biomass_025,biomass_50,biomass_975,stab_025,stab_50,stab_975
20,0.15,0.6367545190663982,0.09764774020617847,0.6269513000357493,1.9999017247571795,-0.5174257262241353,-0.1270245334226917,-0.00014305608676652107
24,0.059027777777777776,0.4300889651869439,0.023503709404695452,0.32652221194582304,1.4731575683562836,-0.7015073415590429,-0.3940649443105817,-0.20130237516044638
18,0.11728395061728394,0.5439763853881616,0.6337326231954273,1.004703983047051,2.4669942596057264,-0.7255556168880661,-0.2916198089502907,-0.037388340557359595
19,0.16066481994459833,0.6259021810504156,0.021329625156378925,0.45550404544290374,1.1954107434127426,-0.5876670897378068,-0.13334062243199846,-0.0007173468628967696
26,0.08875739644970414,0.5795675675951464,1.8595384935414376,2.1501084793979643,3.5832214837943024,-0.19900644742290807,-0.12738470298589166,-0.054205539975847525
13,0.10059171597633136,0.5654858896055367,0.2439999133242535,1.089956893169213,2.752707514684691,-0.8733808916199035,-0.3735505341226394,-0.10670127878556834
56,0.07971938775510204,0.6415981214490566,5.3353435008161645,13.637302051869181,25.31607840929411,-0.8479424389145165,-0.4555762980751342,-0.2213903051397053
45,0.10469135802469136,0.6953699874923707,5.742185199019823,13.590992939574274,13.683941672208345,-0.39732270600408964,-0.004660492522081214,-0.002367584183593546
53,0.06514773940904237,0.5666570365919414,3.3496823684470987,8.575288420445062,17.289783441705946,-0.9899120027783583,-0.4065595754718784,-0.1745646218842887
40,0.06125,0.6452778101668583,9.590752243881434,20.370510771622108,23.13011598546674,-0.5531284754307124,-0.15369503254227695,-0.045013432001225435
44,0.08522727272727272,0.665318562972194,3.7825495910603486,5.461366799477439,12.312399734693406,-0.8145450443634428,-0.3967347409351229,-0.12640893714505103
30,0.13444444444444445,0.7338887387456401,3.222748900332736,3.2257948398635374,3.2268678539147615,-0.0005708326723408033,-0.0003878801643006132,-0.00023006154209780552
30,0.07888888888888888,0.5949602244480534,2.1439507140930614,4.50600008492574,9.06993707957857,-0.7921739994304556,-0.3884409872883451,-0.1433035881220243
50,0.1016,0.6859750375986903,7.786651966931405,10.313355908545951,15.280333357466544,-0.34092679260051784,-0.23226510812546358,-0.1394941547028569
42,0.10147392290249434,0.6591053186466693,4.134241670932592,6.550183114107978,9.970352814808994,-0.6225108819573861,-0.0869987155164273,-0.021107000631123255
